epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.725,2.77045,4.24401,3.67124,0,0,0,0,1.70659,10.7335,2.20769,0.00018,0.00018,0.08218
2,289.007,2.96368,4.10997,3.50891,0.00133,0.54167,0.01194,0.00294,1.71822,19.2022,2.12751,0.000369937,0.000369937,0.0633699
3,424.573,3.00505,4.11188,3.4429,0.00083,0.83333,0.00699,0.00173,1.78043,51.7217,2.1003,0.00055962,0.00055962,0.0445596
4,561.502,3.08614,3.70427,3.39739,0.00162,0.5,0.0075,0.00177,1.92911,1732.67,2.0664,0.000748856,0.000748856,0.0257489
5,698.882,2.96746,3.53097,3.31235,0.0295,0.25,0.11544,0.02625,1.94903,1133.66,2.07511,0.000937451,0.000937451,0.00693745
6,852.167,3.12151,3.40873,3.39655,0.03877,0.29167,0.02581,0.0066,1.79223,769.733,2.10676,0.000995765,0.000995765,0.000995765
7,1002.13,2.94289,3.12358,3.22265,0.16945,0.33333,0.15652,0.04232,1.8584,252.204,2.12029,0.000993906,0.000993906,0.000993906
8,1146.98,2.92404,3.0902,3.25133,0.19293,0.33333,0.09819,0.02538,1.81901,116.459,2.0411,0.000991711,0.000991711,0.000991711
9,1292.02,2.99513,3.23185,3.27409,0.11822,0.375,0.08233,0.02941,1.63783,125.446,2.12987,0.000989183,0.000989183,0.000989183
10,1430.89,2.95163,3.04741,3.29489,0.24565,0.33333,0.14636,0.03912,1.86342,28.0076,2.46932,0.000986323,0.000986323,0.000986323
11,1574.51,2.88946,3.05451,3.28425,0.07126,0.58333,0.14662,0.04883,1.55391,355.189,2.0256,0.000983133,0.000983133,0.000983133
12,1728.72,2.78723,2.83715,3.19845,0.30929,0.29167,0.32081,0.13736,1.43451,34.0961,1.91632,0.000979616,0.000979616,0.000979616
13,1868.4,2.67324,2.9062,3.15615,0.14474,0.29167,0.1283,0.04034,1.4105,63.0059,1.78294,0.000975773,0.000975773,0.000975773
14,2007.44,2.72959,2.79487,3.14916,0.40836,0.40302,0.43316,0.18913,1.42827,263.818,1.91569,0.000971608,0.000971608,0.000971608
15,2150.41,2.70672,2.83852,3.1503,0.25196,0.45833,0.35531,0.1831,1.36427,576.181,1.91082,0.000967122,0.000967122,0.000967122
16,2306.45,2.53274,2.74996,3.0047,0.35235,0.38565,0.36425,0.15718,1.30468,16.061,1.7686,0.00096232,0.00096232,0.00096232
17,2444.27,2.55813,2.75004,3.01905,0.18775,0.41667,0.29351,0.09642,1.4424,40.5656,1.80272,0.000957205,0.000957205,0.000957205
